Cod;Campus;Curso;Grau;Turno;Ano;;
1;BARRA DO GARÇAS;AGRONOMIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
2;BARRA DO GARÇAS;BIOMEDICINA - BACHARELADO;BACHARELADO;INTEGRAL;2017
3;BARRA DO GARÇAS;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO;BACHARELADO;INTEGRAL;2017
4;BARRA DO GARÇAS;COMUNICAÇÃO SOCIAL - JORNALISMO - BACHARELADO;BACHARELADO;NOTURNO;2017
5;BARRA DO GARÇAS;DIREITO - BACHARELADO;BACHARELADO;INTEGRAL;2017
6;BARRA DO GARÇAS;ENGENHARIA CIVIL - BACHARELADO;BACHARELADO;INTEGRAL;2017
7;BARRA DO GARÇAS;GEOGRAFIA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
8;BARRA DO GARÇAS;LETRAS - LÍNGUA PORTUGUESA - LICENCIATURA;LICENCIATURA;NOTURNO;2017
9;CUIABÁ;ADMINISTRAÇÃO - BACHARELADO;BACHARELADO;MATUTINO;2017
10;CUIABÁ;ADMINISTRAÇÃO - BACHARELADO;BACHARELADO;NOTURNO;2017
11;CUIABÁ;AGRONOMIA - BACHARELADO;BACHARELADO;INTEGRAL;2017
12;CUIABÁ;ARQUITETURA E URBANISMO - BACHARELADO;BACHARELADO;INTEGRAL;2017
13;CUIABÁ;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO;BACHARELADO;INTEGRAL;2017
14;CUIABÁ;CIÊNCIA E TECNOLOGIA DE ALIMENTOS - BACHARELADO;BACHARELADO;NOTURNO;2017
15;CUIABÁ;CIÊNCIAS BIOLÓGICAS -BACHARELADO;BACHARELADO;INTEGRAL;2017
16;CUIABÁ;CIÊNCIAS BIOLÓGICAS - LICENCIATURA;LICENCIATURA;INTEGRAL;2017
17;CUIABÁ;CIÊNCIAS CONTÁBEIS - BACHARELADO;BACHARELADO;MATUTINO;2017
18;CUIABÁ;CIÊNCIAS CONTÁBEIS - BACHARELADO;BACHARELADO;NOTURNO;2017
19;CUIABÁ;CIÊNCIAS ECONÔMICAS - BACHARELADO;BACHARELADO;MATUTINO;2017
20;CUIABÁ;CIÊNCIAS ECONÔMICAS - BACHARELADO;BACHARELADO;NOTURNO;2017
